MatvareID;Matvare;Vann;Kilojoule;Kilokalorier;Fett;Omega-3;Karbohydrat;Sukker, tilsatt;Protein;Salt;Alkohol;Vitamin A;Vitamin D;Vitamin E;Vitamin B6;Vitamin C;Kalsium
03.008;Rype, bryst, uten skinn, rå;72;512;122;4,5;0,5;0;0;20,3;0,2;0;49;0;0,7;0,63;0;40
03.233;And, kjøtt med skinn, ovnsstekt;31;1920;463;37,3;0,94;0;0;31,8;0,4;0;50;0,7;0,5;0,54;0;20
03.232;And, kjøtt uten skinn, ovnsstekt;47;1046;248;6,8;0,29;0;0;46,7;0,6;0;25;0,1;0;0,58;0;32
03.234;Gås, kjøtt med skinn, ovnsstekt;30;1853;446;32,8;0,51;0;0;37,6;0,4;0;17;0;0,5;0,62;0;29
03.245;Gås, kjøtt uten skinn, ovnsstekt;20;1553;368;9,2;0,32;0;0;71,3;0,6;0;15;0;0,4;1,34;0;42
03.236;Høne, filet, kokt;67;575;135;0,6;0,06;0;0;32,6;0,1;0;7;0,1;0,2;0,52;0;10
03.206;Høne, kjøtt med skinn, kokt;59;1034;248;16,7;0,62;0;0;24,4;0,1;0;30;0,2;0,4;0,29;0;21
03.241;Kalkun, brystfilet, uten skinn, ovnsstekt;64;641;151;1,4;0,06;0;0;34,8;0,2;0;6;0,3;0,2;0,6;0;3
03.005;Kalkun, kjøtt med skinn, ovnsstekt;67;700;167;6,5;0,2;0;0;27;0,2;0;9;0,5;0,6;0,69;0;8
03.240;Kalkun, kjøtt uten skinn, ovnsstekt;67;584;138;1,5;0,06;0;0;31,1;0,2;0;7;0,3;0,2;0,46;0;6
03.418;Kylling, filet, kokt;73;492;116;1,4;0,09;0;0;25,9;0,1;0;5;0;0,5;0,56;4;4
03.242;Kylling, filet, stekt i fett;68;649;154;4,8;0,21;0;0;27,7;0,2;0;18;0,3;0,7;0,5;4;5
03.391;Kylling, hel, med skinn, landkylling, ovnsstekt;65;807;193;10,3;0,24;0;0;25;0,2;0;25;0;1;0,36;3;8
03.007;Kylling, hel, med skinn, ovnsstekt;65;845;202;12,4;0,25;0;0;22,8;0,2;0;28;0,5;1,5;0,55;4;11
03.246;Kylling, hel, uten skinn, ovnsstekt;71;566;134;3,8;0,1;0;0;25;0,3;0;17;0;1,2;0,66;5;11
03.244;Kylling, lår (overlår og lårklubbe), med skinn, ovnsstekt;68;781;187;11,4;0,29;0;0;21,1;0,2;0;23;0,2;1,4;0,22;3;11
03.392;Kylling, lår (overlår og lårklubbe), uten skinn, ovnsstekt;71;612;146;6,2;0,17;0;0;22,5;0,3;0;18;0;1,2;0,24;3;11
03.395;Kylling, lårklubbe (underlår), med skinn, ovnsstekt;70;675;161;8,4;0,22;0;0;21,5;0,3;0;20;0,2;1,3;0,21;3;11
03.396;Kylling, lårklubbe (underlår), uten skinn, ovnsstekt;71;612;146;6,2;0,17;0;0;22,5;0,3;0;18;0;1,2;0,24;3;11
03.393;Kylling, overlår (lår uten lårklubbe), med skinn, ovnsstekt;66;845;203;13,2;0,33;0;0;20,9;0,2;0;26;0,3;1,4;0,22;3;10
03.394;Kylling, overlår (lår uten lårklubbe), uten skinn, ovnsstekt;70;672;160;7,8;0,21;0;0;22,5;0,3;0;20;0;1,3;0,26;3;11
03.249;Rype, bryst uten skinn, ovnsstekt;65;732;174;6,1;0,5;0;0;29,8;0,1;0;61;0;0,9;0,79;0;6
03.215;Lam, bogstek, rå;68;781;187;12,6;0,37;0;0;18,5;0,2;0;11;0,1;0,5;0,14;0;6
03.343;Lam, fett fra lammekjøtt, rå;21;2888;702;76;2,21;0;0;4,5;0,1;0;24;0,4;1,4;0,15;M;9
03.211;Lam, flatbiff, rå;75;440;104;2,1;0,06;0;0;21,3;0,1;0;3;0;0,5;0,25;0;8
03.218;Lam, fårikålkjøtt, rå;64;954;230;17,7;0,49;0;0;17,6;0,2;0;10;0,1;0,3;0,11;0;9
